input_word	correct_term	input_context
old		6-8 week old
null		null
		adult (pregnant)
pregnant		adult (pregnant)
average		average age 29.8 years
age		average age 29.8 years
and		child and adults
to		6 to 8 weeks
or		11 or 18 weeks
mean		mean 54 years (range 19-68)
range		mean 54 year (range 19-68)
avg	average	10.5 year avg.
at		at least 8 weeks old
least		at least 8 weeks old
older		8 week or older
yo		21 - 85 yo
newborn		newborn
10wk	10 week	8-10wk
young		young adult
not		not available
available		not available
sucking		sucking
ages		adult and child (ages 4.5-10.5 and 15-44)
neonates		neonates
birth		at birth
of		average of 30.2 years
~		~ 33 to 55 years
over	>	10 to over 90 years
within		adult (within 24 hours of parturition)
parturition		adult (within 24 hour of parturition)
median		median age 11.3 years
neonatal		neonatal
than		older than 8 weeks
after		24 hour after birth
neonate		neonate
embryo		embryo
calves	calf	calves
newborns	newborn	newborns
8weeks	8 week	6-8weeks
calf		calf
cows	cow	calves and cows
less		less than 30 years
juvenile		juvenile
fetal		fetal
under	<	under 16 weeks
tp	to	5 tp 7 weeks
younger		30 year or younger
prenatal		prenatal
embryonic		embryonic day 15
infant		infant
pediatric		pediatric
with		mean age of 32.2 year with a range from 18 to 49 year
a		mean age of 32.2 year with a range from 18 to 49 year
from		mean age of 32.2 year with a range from 18 to 49 year
feb		16-feb
ponies	pony	ponies
more		more than 15 years
up		up to 12 weeks old
infants		infants
7years	7 year	1.5-7years
grams		25-30 grams
infected		neonates (infected mothers or pm)
mothers	mother	neonates (infected mothers or pm)
pm		neonates (infected mothers or pm)
g		20-25 g
subadult		subadult
college		college age
foals	foal	foals
elderly		elderly > 70 years
steer		steer
31and	31 and	31and 73 years
mature		mature
middle		middle aged
aged		middle aged
fetus		100 day fetus
58		58.4 +/- 14.3 years
14		58.4 +/- 14.3 years
t0	to	43 t0 53 months
piglet		piglet
yeas	year	46.7 yeas (mean)
on		52 year old on average
an		18-38 year, with an average of 22 year
born		born before 1968
before		born before 1968
9weeks	9 week	7-9weeks
