variant_term	preferred_term	occurrences
zero	0	0
one	1	1
two	2	0
three	3	1
four	4	2
five	5	1
six	6	4
seven	7	0
eight	8	2
nine	9	0
ten	10	0
eleven	11	0
twelve	12	0
thirteen	13	0
fourteen	14	0
fifteen	15	0
sixteen	16	0
seventeen	17	0
eighteen	18	0
nineteen	19	0
adutl	adult	2
adutls	adult	2
adults	adult	21
children	child	7
more than	>	1
greater than	>	0
fewer than	<	0
less than	<	4
years	year	2988
yr	year	16
yrs	year	12
yera	year	3
yeras	year	3
yeays	year	1
yesrs	year	1
months	month	537
mo	month	581
mos	month	2
monts	month	1
motnhs	month	1
weeks	week	2306
wk	week	73
wks	week	15
weels	week	4
weks	week	1
wo	week	5
wekk	week	1
wekks	week	1
days	day	93
hours	hour	14
hr	hour	0
hrs	hour	0
